Drug,Target
Compound 4-D,ESR1
"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",PYGL
"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",HSP90AA1
Tromethamine,VEGFA
Doconexent,PPARA
Doconexent,PPARG
Doconexent,RXRA
Doconexent,RXRB
Doconexent,RXRG
Doconexent,SREBF1
Radicicol,HSP90AB1
Radicicol,HSP90B1
FG-9041,GRIA2
Rbt205 Inhibitor,PIM1
Rbt205 Inhibitor,PDPK1
Rbt205 Inhibitor,PRKCI
N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea,PLAU
GC-24,THRB
Palmitic Acid,PPARA
Lysine Nz-Carboxylic Acid,CDK2
"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",ESR1
"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4B
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,HSP90AA1
RU78299,SRC
"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide",PYGM
Cilomilast,PDE4D
Cilomilast,PDE4B
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",ESR2
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,PLAU
Prostaglandin G2,PTGS2
"Thieno[2,3-B]Pyridine-2-Carboxamidine",PLAU
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,ABL1
"5-Alpha-Androstane-3-Beta,17beta-Diol",ESR2
5-N-Allyl-Arginine,NOS1
Thionicotinamide-Adenine-Dinucleotide,GAPDH
9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,HSP90AA1
2-Methyl-2-Propanol,CALM1
2-Methyl-2-Propanol,CALM2
2-Methyl-2-Propanol,CALM3
Oxalic Acid,SRC
Urea,CTNNB1
2-Phenylheme,HMOX1
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",INSR
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",ATP2A1
"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",NOS3
"6S-5,6,7,8-Tetrahydrobiopterin",NOS3
4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,TGFBR1
D-Serine,GRIN1
Protoporphyrin Ix Containing Zn,CYCS
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",FGF2
Oxamic Acid,LDHA
Oxamic Acid,LDHB
"Inositol 2,4,5-trisphosphate",PLCD1
"N,O6-Disulfo-Glucosamine",FGF2
"N,O6-Disulfo-Glucosamine",FGF1
S-(Dimethylarsenic)Cysteine,TLR2
S-(Dimethylarsenic)Cysteine,NOS3
L-Homoarginine,NOS3
N-Trimethyllysine,CYCS
N-Trimethyllysine,CALM1
N-Trimethyllysine,CALM2
N-Trimethyllysine,CALM3
4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,MAPK14
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",FGF2
"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",PTPN1
"2,6-Diamino-Hexanoic Acid Amide",ADCYAP1
Bromo-Willardiine,GRIA2
6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid,PTPN1
{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid,LCK
"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone",CDK2
1-Deoxy-1-Methoxycarbamido-Beta-D-Gluco-2-Heptulopyranosonamide,PYGM
Alsterpaullone,CDK1
Alsterpaullone,GSK3B
S-Isopropyl-Isothiourea,NOS3
"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol",ESR2
Carboxymycobactin T,LCN2
4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid,PYGM
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",HSP90AA1
"2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium",PYGM
8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,PLAU
RU78191,SRC
N'-Pyridoxyl-Lysine-5'-Monophosphate,PYGM
N-(Allyloxycarbonyl)-4-[N-(Carboxy-Formyl)-2-(Benzoic Acid)-Amino]-L-Phenylalaninyl-Amino-Butyloxy-(6-Hydroxy-Benzoic Acid Methyl Ester),PTPN1
Balanol,PRKACA
"N-[4-(2,4-Dimethyl-1,3-Thiazol-5-Yl)Pyrimidin-2-Yl]-N'-Hydroxyimidoformamide",CDK2
Berberine,BIRC5
Hexatantalum Dodecabromide,CAMK2A
Guanosine-3'-Monophosphate-5'-Diphosphate,ARF1
Willardiine,GRIA2
Guanosine-5'-Triphosphate,HRAS
Guanosine-5'-Triphosphate,RHEB
Guanosine-5'-Triphosphate,ARF1
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide",PTPN1
"Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone",MDM2
(R)-Rolipram,PDE4B
(R)-Rolipram,PDE4D
"2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid",GRIA2
"[2,4,6-Triisopropyl-Phenylsulfonyl-L-[3-Amidino-Phenylalanine]]-Piperazine-N'-Beta-Alanine",PLAU
Mdl-29951,FBP1
Di-Stearoyl-3-Sn-Phosphatidylcholine,SLC25A4
"N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea",CDK2
Heptulose-2-Phosphate,PYGM
[(4-{4-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Butyl}-Phenyl)-Difluoro-Methyl]-Phosphonic Acid,PTPN1
Dequalinium,KCNMA1
Quercetin,HCK
Quercetin,PIM1
Quercetin,ESR1
Quercetin,ESR2
Quercetin,ACTB
Quercetin,CSNK2B
Quercetin,HSP90AA1
Quercetin,HSPA2
Quercetin,CEBPB
Nitroarginine,NOS3
Nitroarginine,NOS1
Oleic Acid,PPARA
Oleic Acid,PPARD
Oleic Acid,RXRA
Oleic Acid,PPARG
Zinc Substituted Heme C,CYCS
"8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine",HSP90AA1
4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid,GRM1
(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid,PPARG
"3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
Citric Acid,SRC
"{4-[(2s,4e)-2-(1,3-Benzothiazol-2-Yl)-2-(1h-1,2,3-Benzotriazol-1-Yl)-5-Phenylpent-4-Enyl]Phenyl}(Difluoro)Methylphosphonic Acid",PTPN1
2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine,CDK2
N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea,PYGM
Guanosine-5'-Diphosphate,GNAI1
Guanosine-5'-Diphosphate,RHEB
Guanosine-5'-Diphosphate,CDC42
Guanosine-5'-Diphosphate,ARF1
Guanosine-5'-Diphosphate,EEF2
Guanosine-5'-Diphosphate,HRAS
Guanosine-5'-Diphosphate,RHOA
Guanosine-5'-Diphosphate,RALA
Guanosine-5'-Diphosphate,ARF6
Guanosine-5'-Diphosphate,RAC1
Dihydroxyacetone phosphate,ALDOA
Phosphatidylethanolamine,PTEN
SB220025,MAPK14
SB220025,MAPK1
Arecoline,CHRM1
Arecoline,CHRM3
13-Acetylphorbol,PRKCD
3-Hydroxy-3-Methyl-Glutaric Acid,HMGCR
Phosphoaminophosphonic Acid-Adenylate Ester,CFTR
Phosphoaminophosphonic Acid-Adenylate Ester,MAPK12
Phosphoaminophosphonic Acid-Adenylate Ester,GSK3B
Phosphoaminophosphonic Acid-Adenylate Ester,IGF1R
Phosphoaminophosphonic Acid-Adenylate Ester,PIM1
Phosphoaminophosphonic Acid-Adenylate Ester,HK1
Phosphoaminophosphonic Acid-Adenylate Ester,LCK
Phosphoaminophosphonic Acid-Adenylate Ester,EPHA2
Phosphoaminophosphonic Acid-Adenylate Ester,PFKFB4
"L-erythro-7,8-dihydrobiopterin",TH
4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol,CDK2
Naphthalene Trisulfonate,FGF1
Naphthyridine Inhibitor,TGFBR1
3-Fluorotyrosine,SOD2
Tetrafluoroaluminate Ion,GNAI1
Tetrafluoroaluminate Ion,ATP2A1
"1,4-Dithiothreitol",CAMK2A
"1,4-Dithiothreitol",AXIN1
"1,4-Dithiothreitol",HMGCR
N-Formylmethionine,UBC
Afimoxifene,ESR2
Afimoxifene,ESR1
Afimoxifene,TFF1
"1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
"2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",ESR1
"Trencam-3,2-Hopo",LCN2
"3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole",TGFBR1
Fructose-6-Phosphate,FBP1
Fructose-6-Phosphate,PFKFB4
RU81843,SRC
"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine",HSP90AA1
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,CALM1
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,CALM2
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,CALM3
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,TNNI3
"3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol",CDK2
Caprylic acid,PPARA
Dexfosfoserine,PRKACA
Dexfosfoserine,TAOK2
Dexfosfoserine,SMAD2
Dexfosfoserine,CFTR
Dexfosfoserine,PDPK1
Dexfosfoserine,PIM1
Dexfosfoserine,PRKCQ
Dexfosfoserine,PYGL
Dexfosfoserine,PYGM
2-(Carboxymethoxy)-5-[(2s)-2-({(2s)-2-[(3-Carboxypropanoyl)Amino] -3-Phenylpropanoyl}Amino)-3-Oxo-3-(Pentylamino)Propyl]Benzoic Acid,PTPN1
"S,S-(2-Hydroxyethyl)Thiocysteine",PDE1B
"S,S-(2-Hydroxyethyl)Thiocysteine",CYTH2
"S,S-(2-Hydroxyethyl)Thiocysteine",PDE4B
"S,S-(2-Hydroxyethyl)Thiocysteine",PRKACA
"S,S-(2-Hydroxyethyl)Thiocysteine",PIM1
5-Nitroindazole,NOS3
1-Deoxy-1-Acetylamino-Beta-D-Gluco-2-Heptulopyranosonamide,PYGM
Niflumic Acid,PTGS2
Arachidonic Acid,PPARA
Arachidonic Acid,RXRA
N-(Chlorophenyl)-N'-Hydroxyguanidine,NOS3
Inosinic Acid,PYGM
Estriol,ESR1
Estriol,ESR2
Estrone sulfate,ESR1
Estrone sulfate,ESR2
Quinestrol,ESR1
"N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE",HSP90AA1
Aniracetam,HTR2A
Aniracetam,DRD2
Aniracetam,GRIA2
5-iodotubercidin,CSNK1G2
5-iodotubercidin,MAPK3
"PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE",CDK2
Cycloleucine,GRIN1
4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE,MAPK14
"2,5-DI-(TERT-BUTYL)-1,4,BENZOHYDROQUINONE",ATP2A1
"7-{2,6-DICHLORO-4-[3-(2-CHLORO-BENZOYL)-UREIDO]-PHENOXY}-HEPTANOIC ACID",PYGM
"4-{3-CHLORO-4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID",PYGM
"4-{4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2,3-DIMETHYL-PHENOXY}-BUTYRIC ACID",PYGM
"5-{3-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID",PYGM
Corticosterone,NCOA1
OLOMOUCINE II,CDK2
TRIAZOLOPYRIMIDINE,CDK2
2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,PPARG
Hydroxyfasudil,ROCK1
Hydroxyfasudil,PRKACA
IMIDAZOPYRIDAZIN 1,PIM1
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",JAK2
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",JAK1
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",JAK3
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",TYK2
Licofelone,PLA2G2E
Licofelone,PTGS2
"N-(4-{4-AMINO-6-[4-(METHYLOXY)PHENYL]FURO[2,3-D]PYRIMIDIN-5-YL}PHENYL)-N'-[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]UREA",KDR
"1,6-DI-O-PHOSPHONO-D-MANNITOL",ALDOA
Motuporin,PPP1CC
4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,SRC
Nimesulide,PTGS2
Nimesulide,PLA2G2E
Purvalanol A,SRC
Purvalanol A,CSNK1G3
Purvalanol A,RPS6KA1
Suramin,RYR1
Tanaproget,PGR
Triazolopyridine,MAPK14
THIO-ATPA,GRIA2
1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,PTPN1
(11E)-OCTADEC-11-ENOIC ACID,PPARD
Verdoheme,HMOX1
Phenolphthalein,ESR1
Prenylamine,CALM1
Prenylamine,CALM2
Prenylamine,CALM3
Lysergic Acid Diethylamide,HTR1A
Lysergic Acid Diethylamide,HTR6
Clofedanol,HRH1
Cyclandelate,CACNA2D1
Flunarizine,HRH1
Flunarizine,CALM1
Flunarizine,CALM2
Flunarizine,CALM3
Fluspirilene,DRD2
Fluspirilene,HTR2A
Fluspirilene,CACNG1
Mepenzolate,CHRM1
Mepenzolate,CHRM3
Tetrabenazine,DRD2
Celiprolol,ADRB1
Celiprolol,ADRB2
Celiprolol,ADRA2A
Celiprolol,ADRA2B
Celiprolol,ADRA2C
Roxadustat,EGLN2
Roxadustat,EGLN3
Cediranib,KDR
Binodenoson,ADORA2A
Dronedarone,ADRA1A
Dronedarone,ADRA1B
Dronedarone,ADRA1D
Dronedarone,ADRA2A
Dronedarone,ADRA2B
Dronedarone,ADRA2C
Dronedarone,ADRB1
Dronedarone,CACNA1C
Dronedarone,CACNA1D
Dronedarone,CACNB1
Dronedarone,CACNB2
Dronedarone,CACNB3
Dronedarone,CACNB4
Dexloxiglumide,CCKAR
Brasofensine,DRD2
Nebivolol,ADRB1
Nebivolol,ADRB2
Lefradafiban,ITGB3
Halofuginone,COL1A1
Halofuginone,MMP2
Lintitript,CCKAR
Nilotinib,ABL1
Nilotinib,KIT
Osanetant,TACR3
Vatalanib,FLT1
Vatalanib,KDR
Vatalanib,FLT4
Enoximone,PDE3A
Dapoxetine,HTR1A
Dapoxetine,HTR1B
Bifeprunox,DRD2
Bifeprunox,HTR1A
Bicifadine,DRD2
Bepotastine,HRH1
Becocalcidiol,MED1
Vapreotide,SSTR2
Vapreotide,SSTR5
Vapreotide,TACR1
Milnacipran,GRIN1
Milnacipran,GRIN2A
Milnacipran,GRIN2B
Milnacipran,GRIN2C
Milnacipran,GRIN2D
Milnacipran,GRIN3A
Milnacipran,GRIN3B
Nesiritide,NPR1
Nesiritide,NPR2
Tesmilifene,HRH1
Flibanserin,HTR1A
Flibanserin,HTR2A
Stannsoporfin,HMOX1
Clevidipine,CACNA1D
Clevidipine,CACNA1C
Itopride,DRD2
Itopride,CHRM3
Neramexane,GRIN3A
Permethrin,ESR1
Defibrotide,ADORA2A
Defibrotide,ADORA2B
Ospemifene,ESR1
Crofelemer,CFTR
Tamibarotene,RARA
Iloperidone,HTR2A
Iloperidone,DRD2
Iloperidone,DRD1
Iloperidone,HTR1A
Iloperidone,HTR6
Iloperidone,HTR7
Iloperidone,ADRA1A
Iloperidone,HRH1
Iloperidone,ADRA2C
Lofexidine,ADRA2A
Lofexidine,ADRA1A
Lofexidine,HTR1A
Lofexidine,HTR7
Afelimomab,TNF
Lesopitron,HTR1A
Reglixane,PPARA
Reglixane,PPARG
LErafAON,RAF1
AP1903,MTOR
Talampanel,GRIA1
Talampanel,GRIA2
Talampanel,GRIA4
IGN311,EGFR
IGN311,ERBB2
ATL1102,ITGA4
Imexon,RRM2
AC162352,NPY1R
Apadenoson,ADORA2A
SGS-742,GABBR1
SGS-742,GABBR2
Ingenol Mebutate,PRKCD
Ingenol Mebutate,PRKCA
XL999,FGFR3
XL999,FGFR1
XL999,KDR
XL999,FLT3
Belinostat,HDAC1
Belinostat,HDAC2
Belinostat,HDAC3
Belinostat,HDAC4
Belinostat,HDAC5
YSIL6,TNF
ATL1101,IGF1R
Ularitide,NPR1
Eprotirome,THRA
Eprotirome,THRB
AT7519,CDK1
AT7519,CDK2
Anatibant,BDKRB2
Indacaterol,ADRB2
SGS518,HTR6
PSN357,PYGL
CX717,GRIA4
CX717,BDNF
CX717,GRIA1
CX717,GRIA2
ADL5859,OPRD1
MF101,ESR2
MB-07803,FBP1
AV608,TACR1
TG-100801,FLT1
TG-100801,KDR
TG-100801,FLT4
SLV319,CNR1
AER001,IL4R
HY10275,HRH1
HY10275,HTR2A
OBE101,HRH1
CDP323,ITGA4
Cimicoxib,PTGS2
LY2140023,GRM2
LY2140023,GRM3
Leptin,LEPR
Matuzumab,EGFR
NN344,INSR
AT1391,INSR
R1295,ITGA4
R1295,ITGB4
Tanespimycin,HSP90AA1
Tanespimycin,HSP90AB1
CR002,PDGFD
LY2181308,BIRC5
XL820,KDR
XL820,KIT
XL820,PDGFRA
XL844,CHEK2
XL844,CHEK1
NGX267,CHRM1
KC706,MAPK14
KC706,MAPK11
KC706,MAPK12
KC706,MAPK13
LY2275796,EIF4E
E-2012,PSENEN
MLN0415,IKBKB
XL228,IGF1R
XL228,SRC
XL228,ABL1
XL228,ABL2
Elafibranor,PPARA
Elafibranor,PPARD
Elafibranor,PPARG
KD3010,PPARD
XL281,BRAF
XL281,RAF1
Atl146e,ADORA2A
MB07811,THRB
CYC116,KDR
V24343,CNR1
SD118,TNF
SD118,IL1R1
SF1126,PIK3R1
SF1126,PIK3R2
SF1126,PIK3R3
SF1126,MTOR
HE3286,NFKB1
HE3286,NFKB2
PN0621,TNF
Crisaborole,PDE4A
Crisaborole,PDE4B
Crisaborole,PDE4C
Crisaborole,PDE4D
Pracinostat,HDAC1
Pracinostat,HDAC2
Pracinostat,HDAC3
APD791,HTR2A
AP1081,ESR1
NRP409,THRA
Cobimetinib,MAP2K1
XL765,PIK3CA
XL765,PIK3CD
XL765,MTOR
XL019,JAK2
Proellex,PGR
Fibrinolysin,SERPINE1
Fibrinolysin,PLAU
Ronacaleret,CASR
Natural alpha interferon,IFNAR1
Gallium nitrate,RRM2
Gallium nitrate,ATP6V1B2
Ibudilast,PDE4A
Ibudilast,PDE4B
Ibudilast,PDE4C
Ibudilast,PDE4D
Ibudilast,PDE3A
iCo-007,RAF1
Rotigotine,DRD2
Rotigotine,DRD5
Rotigotine,DRD1
Rotigotine,HTR1A
Rotigotine,ADRA2B
S-8184,BCL2
Vandetanib,VEGFA
Vandetanib,EGFR
Vandetanib,TEK
Vandetanib,RET
Paclitaxel docosahexaenoic acid,BCL2
Tetomilast,PDE4D
LAX-101,PLD1
OMS-103HP,TNF
OMS-103HP,IL1R1
Cintredekin Besudotox,IL13
TP-508,FGF4
Pimavanserin,HTR2A
Pimavanserin,DRD2
TAK-475,HMGCR
MN-305,HTR1A
SO-101,HRH1
SR-123781A,F2R
HZT-501,HRH2
CP-945598,CNR1
Rindopepimut,EGFR
Histamine,HRH1
Histamine,HRH2
AE-941,MMP2
CEP-1347,MAPK12
AZD 3355,TP53
TBC-3711,EDN1
Emricasan,CASP3
Talmapimod,MAPK14
Talmapimod,TNF
GW-501516,PPARD
GW-501516,PPARA
GW 597599,TACR1
CP-122721,TACR1
Canertinib,EGFR
motexafin gadolinium,RRM2
ABT-510,FGF2
ABT-510,VEGFA
AVI-4557,HNF4A
P54,NFKB2
P54,NFKB1
PH-284,AVPR1B
SR 121463,AVPR1B
Briakinumab,IL12B
OPC-28326,ADRA2C
OPC-28326,ADRA2B
ISS-1018,TLR9
NOX-700,NFKB2
NOX-700,NFKB1
Tandutinib,FLT3
Tandutinib,PDGFD
R673,TACR1
R411,ITGA4
R450,ADRA1A
R450,ADRA1B
R450,ADRA1D
VX-702,MAPK14
VX-702,TNF
SGN-30,NFKB1
SGN-30,NFKB2
omega interferon,IFNAR1
omega interferon,IFNAR2
Golotimod,TLR2
Golotimod,TLR9
Custirsen,ESR1
Custirsen,NFKB2
Custirsen,NFKB1
T131,PPARG
Epicept NP-1,HTR2A
Epicept NP-1,ADRA1A
Epicept NP-1,ADRA1B
Epicept NP-1,ADRA1D
Epicept NP-1,ADRA2A
Epicept NP-1,ADRA2B
Epicept NP-1,ADRA2C
Epicept NP-1,HRH1
AMD-070,CXCR4
ISIS 113715,PTPN1
LI-301,HTR1A
Atiprimod,TNF
Managlinat dialanetil,FBP1
Pelitinib,EGFR
CPG 10101,TLR9
TG100-115,PIK3CD
Naluzotan,HTR1A
Ramucirumab,KDR
NP-50301,ESR1
Apremilast,PDE4D
Apremilast,PDE4A
Apremilast,PDE4B
Apremilast,TNF
Apremilast,NOS3
Ustekinumab,IL12B
Ustekinumab,IL12B
BL-1020,DRD2
BL-1020,HTR2A
NPS-2143,CASR
CYT006-AngQb,AGTR1
CRx-139,TNF
AVE-1625,CNR1
ALKS 27,CHRM1
ALKS 27,CHRM3
CYT007-TNFQb,TNF
ACP-104,CHRM1
ACP-104,DRD2
Andrographolide,TNF
Andrographolide,NFKB2
Andrographolide,NFKB1
Trastuzumab emtansine,ERBB2
LGD-1550,RARA
LGD-1550,JUN
LM-609,ITGB3
SR 140333,TACR1
GTI 2040,RRM2
Abiraterone,CYP17A1
CNS-5161,GRIN1
humanized SMART Anti-IL-12 Antibody,IL12B
NCX 950,ADRB2
CLX-0921,PPARG
Ethyl pyruvate,TNF
PDE4,PDE4A
AME-527,TNF
CHF 4227,ESR1
CHF 4227,ESR2
VEGF-AS,VEGFA
RI 624,NGF
HGS-TR2J,TNFRSF10B
rhIGFBP-3,IGF1R
OSI-930,KIT
OSI-930,FLT1
CT-011,PDCD1
Pegdinetanib,KDR
Denibulin,VEGFA
Denibulin,FLT1
Denibulin,FLT4
CVT-6883,ADORA2B
Varlitinib,ERBB2
Varlitinib,EGFR
EVT-101,RXRA
EVT-101,GRIN2B
ENMD-1198,TNFRSF11A
ENMD-1198,HIF1A
ENMD-1198,STAT3
Amitifadine,DRD2
TAS-108,ESR1
TAS-108,ESR2
PR-104,TNF
SNS-032,VEGFA
Archexin,AKT1
Bardoxolone methyl,NFKBIA
RAF-265,KDR
RAF-265,BRAF
Plinabulin,TNF
PRX-07034,HTR6
Cariprazine,DRD2
Cariprazine,HTR1A
Cariprazine,HTR2A
Cariprazine,HRH1
AV-412,EGFR
AV-412,ERBB2
Olaratumab,PDGFRA
AZD-8330,MAP3K1
KAI-1455,PRKCE
SNX-5422,HSP90AA1
SNX-5422,HSP90AB1
Linsitinib,IGF1R
Lumateperone,HTR2A
Lumateperone,DRD2
ABT-869,FLT3
ABT-869,FLT1
ABT-869,KDR
ABT-869,FLT4
ABT-869,KIT
ABT-869,CSF1R
PX-478,HIF1A
Tapinarof,IL12B
NXN-188,NOS1
NXN-188,HTR1B
PRLX 93936,VDAC2
PRLX 93936,VDAC3
IMC-1C11,FLT1
IMC-1C11,KDR
IMC-1C11,FLT4
KX-01,SRC
IRL-1620,EDNRB
SUVN-502,HTR6
Sertindole,DRD2
Sertindole,HTR2A
Sertindole,HTR6
Sertindole,ADRA1A
Sertindole,ADRA1B
Sertindole,ADRA1D
Mianserin,ADRA2A
Mianserin,HTR2A
Mianserin,HRH1
Mianserin,HTR1A
Mianserin,ADRA2C
Mianserin,HTR1F
Mianserin,ADRA2B
Mianserin,HTR7
Mianserin,DRD2
Mianserin,HTR6
Mianserin,ADRA1A
Mianserin,ADRA1B
Mianserin,ADRA1D
Mianserin,DRD1
Mianserin,DRD5
Acetylcysteine,IKBKB
Acetylcysteine,CHUK
Acetylcysteine,GRIN2B
Acetylcysteine,GRIN1
Acetylcysteine,GRIN2A
Acetylcysteine,GRIN2D
Acetylcysteine,GRIN3A
Nylidrin,IFNAR2
Pizotifen,CHRM1
Pizotifen,CHRM3
Pizotifen,HTR2A
Pizotifen,HTR1A
Pizotifen,HTR1B
Pizotifen,HRH1
Pizotifen,ADRA1A
Pizotifen,ADRA1B
Pizotifen,ADRA1D
Pizotifen,ADRA2A
Pizotifen,ADRA2B
Pizotifen,ADRA2C
Rimonabant,CNR1
Istaroxime,ATP2A2
Istaroxime,ATP1A1
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Seliciclib,CDK1
Seliciclib,CDK2
Seliciclib,MAPK3
Seliciclib,MAPK1
Seliciclib,CSNK1E
Icatibant,BDKRB2
Lasofoxifene,ESR1
Lasofoxifene,ESR2
Tapentadol,OPRD1
Hyaluronidase (Human Recombinant),TGFB1
Silodosin,ADRA1A
Silodosin,ADRA1B
Silodosin,ADRA1D
Regadenoson,ADORA2A
Asenapine,DRD2
Asenapine,HTR2A
Asenapine,HTR1A
Asenapine,HTR1B
Asenapine,HTR5A
Asenapine,HTR6
Asenapine,HTR7
Asenapine,ADRA2A
